id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,16.27,2.50,1,35,35,Truck,1,31.26,22.85,23.19,23.02,-1.00,-1.00,-1.00,0
2,5.05,2.02,1,35,35,Car,2,45.93,33.68,34.09,33.89,-1.00,-1.00,-1.00,0
3,4.85,2.12,1,58,58,Car,2,80.46,35.15,35.59,35.39,27.29,0.77,15.48,0
4,5.15,2.12,1,64,64,Car,2,101.82,39.69,41.53,40.54,-1.00,-1.00,-1.00,0
5,5.15,2.02,1,85,85,Car,2,130.59,37.73,40.17,38.96,22.89,0.60,-1.00,0
6,7.48,2.22,1,106,106,Car,2,122.92,28.77,29.92,29.32,36.03,1.25,-1.00,0
7,4.95,2.12,1,123,123,Car,2,196.15,39.03,41.01,40.27,65.87,1.61,46.69,0
8,4.65,2.02,1,149,149,Car,2,234.72,37.01,42.35,39.70,25.00,0.67,15.70,0
9,16.78,2.50,1,162,162,Truck,1,158.32,24.20,24.86,24.60,-1.00,-1.00,-1.00,0
10,16.88,2.50,1,164,164,Truck,1,149.37,22.66,23.12,22.92,100.75,4.35,373.34,0
11,4.75,2.02,1,189,189,Car,1,185.97,24.57,25.12,24.75,21.53,0.86,28.74,0
12,3.74,1.72,1,243,243,Car,1,228.37,22.89,24.32,23.62,19.38,0.81,51.13,0
13,5.05,2.12,1,245,245,Car,1,240.50,24.46,24.88,24.65,48.99,1.97,173.10,0
14,4.45,2.02,1,271,271,Car,1,257.73,22.75,24.36,23.88,21.62,0.93,28.18,0
15,4.55,1.92,1,282,282,Car,1,277.83,23.75,25.21,24.73,12.33,0.49,40.02,0
16,5.05,2.12,1,309,309,Car,1,302.69,24.34,25.82,24.58,19.86,0.81,15.32,0
17,4.95,1.92,1,311,311,Car,1,302.15,23.65,25.23,24.37,33.97,1.37,16.00,0
18,15.36,2.50,1,316,316,Truck,2,296.19,22.83,24.09,23.52,158.60,6.94,-1.00,0
19,15.56,2.50,1,399,399,Truck,2,372.57,22.56,24.10,23.42,60.33,2.66,-1.00,0
20,8.89,2.50,2,217,216,Truck,1,202.48,22.78,24.05,23.56,40.56,1.74,46.92,0
21,4.45,2.02,2,256,255,Car,2,362.50,33.24,37.30,35.71,91.32,2.70,-1.00,0
22,5.05,2.12,2,264,263,Car,1,259.21,23.86,25.30,24.75,12.32,0.50,19.62,0
23,4.85,2.12,2,327,326,Car,1,350.74,24.59,32.18,26.99,12.33,0.50,4.91,0
24,4.85,2.12,21,329,309,Car,2,411.59,31.63,35.14,33.43,62.55,1.97,-1.00,0
25,4.85,2.02,30,173,144,Car,2,228.97,38.01,42.08,40.05,40.49,1.03,-1.00,0
26,4.45,1.92,32,352,321,Car,1,319.79,24.44,26.66,24.99,14.24,0.57,15.21,1
27,3.84,1.82,37,393,357,Car,1,409.17,24.75,33.82,28.75,71.55,2.24,10.01,0
28,17.48,2.50,37,478,442,Truck,2,409.93,22.16,24.39,23.25,51.77,2.33,369.64,0
29,4.65,1.92,38,347,310,Car,2,411.13,31.37,35.55,33.28,16.74,0.53,145.02,0
30,4.55,2.22,61,372,312,Car,2,408.68,31.43,35.48,32.89,19.96,0.63,413.72,0
31,4.95,2.02,62,414,353,Car,1,410.66,24.86,35.23,29.17,16.54,0.62,10.67,0
32,4.95,2.02,63,514,452,Car,2,411.18,22.36,23.87,22.80,19.11,0.84,125.15,0
33,4.75,2.22,94,539,446,Car,2,408.36,22.65,23.24,22.94,17.29,0.75,35.98,0
34,4.75,2.02,112,377,266,Car,1,319.47,24.23,42.38,30.16,19.85,0.78,4.28,0
35,7.48,2.50,120,437,318,Truck,2,407.86,30.66,33.87,32.18,65.73,2.14,-1.00,0
36,4.24,1.82,133,438,306,Car,1,409.49,30.90,36.07,33.58,32.59,1.05,5.43,1
37,4.85,2.32,146,467,322,Car,2,410.70,30.14,34.05,31.99,28.55,0.94,14187.28,0
38,4.55,2.02,153,576,424,Car,2,412.43,23.43,25.63,24.39,31.70,1.25,14.68,0
39,4.35,1.92,177,502,326,Car,2,413.54,30.59,33.92,31.82,35.96,1.17,1508.65,0
40,7.07,2.43,203,604,402,Car,2,385.98,22.93,24.38,24.06,23.97,0.99,132.25,0
41,4.35,1.82,211,637,427,Car,2,411.16,23.39,24.64,24.13,18.04,0.73,15.79,0
42,5.05,2.12,228,500,273,Car,1,409.77,32.22,40.95,37.68,77.29,2.26,11.74,0
43,5.15,2.12,228,551,324,Car,2,413.02,30.73,33.26,31.99,58.11,1.84,2144.29,0
44,4.45,2.12,247,672,426,Car,2,412.05,23.62,24.90,24.24,27.67,1.16,33.47,0
45,4.24,2.12,275,603,329,Car,2,410.70,30.48,32.54,31.32,52.75,1.73,-1.00,0
46,4.24,1.82,285,545,261,Car,1,403.70,34.73,40.96,38.83,180.97,4.53,13.72,0
47,4.75,2.32,308,648,341,Car,2,412.43,28.76,31.64,30.34,32.16,1.02,56.39,0
48,5.05,1.92,312,606,295,Car,1,410.04,31.97,37.35,34.88,38.29,1.02,-1.00,0
49,4.95,2.02,330,644,315,Car,1,411.13,32.07,34.59,32.74,161.97,4.68,-1.00,0
50,4.75,2.12,330,675,346,Car,2,413.28,28.68,30.68,29.96,23.84,0.83,22.65,0
51,12.03,2.50,337,739,403,Truck,2,408.61,24.51,25.87,25.42,56.97,2.21,40.33,0
52,5.05,2.12,355,702,348,Car,2,411.40,29.15,30.18,29.65,23.57,0.80,271.04,0
53,4.65,2.02,387,734,348,Car,2,413.10,29.16,30.20,29.78,30.62,1.03,74.04,0
54,16.98,2.50,398,807,410,Truck,1,406.82,23.87,25.87,24.88,107.99,4.18,-1.00,0
55,19.20,2.50,441,802,362,Truck,2,367.75,24.09,26.60,25.47,42.38,1.75,52.75,0
56,4.75,2.02,444,749,306,Car,2,411.23,28.93,37.24,33.72,12.48,0.42,4.88,0
57,16.78,2.50,488,900,413,Truck,1,408.04,23.43,26.14,24.77,69.32,2.83,102.42,0
58,17.08,2.50,547,954,408,Truck,2,411.37,24.19,26.37,25.28,26.47,1.01,-1.00,0
59,4.14,2.02,573,852,280,Car,2,411.90,35.86,37.75,36.90,151.03,4.06,18.40,0
60,4.55,2.12,597,900,304,Car,2,403.82,31.83,34.38,33.33,28.69,0.87,3.59,2
61,4.65,2.02,639,862,224,Car,1,407.98,44.13,47.52,45.77,394.20,8.30,28.06,0
62,17.18,2.50,760,1150,391,Truck,1,387.48,23.77,25.89,24.85,248.52,9.90,146.19,0
63,4.45,2.02,778,1039,262,Car,1,409.15,38.92,39.50,39.21,254.67,6.44,-1.00,0
64,10.91,2.43,808,1221,414,Car,1,408.97,23.29,26.57,24.76,34.41,1.38,30.42,0
65,4.45,2.02,884,1140,257,Car,1,407.35,37.85,41.49,39.80,161.03,4.00,131.60,0
66,4.65,1.92,911,1236,326,Car,1,402.65,29.62,32.29,30.99,20.03,0.67,3.10,0
67,4.55,1.92,948,1225,278,Car,1,408.83,35.36,38.46,36.92,94.74,2.46,-1.00,0
68,4.75,1.97,960,1277,318,Car,1,408.78,29.97,34.64,32.25,38.66,1.27,20.48,0
69,4.24,1.82,987,1310,324,Car,1,411.43,30.48,33.72,31.86,34.71,1.03,68.78,0
70,3.74,1.82,991,1272,282,Car,1,408.78,33.76,38.25,36.39,60.08,1.60,77.68,0
71,5.46,2.12,1201,1492,292,Car,1,409.07,33.44,36.60,35.16,245.93,6.90,46.74,1
72,17.08,2.50,1201,1583,383,Truck,1,387.79,24.25,26.53,25.39,20.09,0.77,-1.00,0
73,4.75,1.92,1218,1477,260,Car,1,410.07,37.37,42.29,39.60,16.22,0.42,6.34,0
74,4.45,1.92,1233,1524,292,Car,2,409.01,31.65,37.04,35.14,-1.00,-1.00,-1.00,0
75,4.14,1.82,1254,1548,295,Car,2,402.40,31.54,35.44,34.24,28.05,0.84,-1.00,1
76,4.75,1.92,1259,1669,411,Car,1,410.41,24.24,26.23,25.03,57.84,2.22,369.11,0
77,11.93,2.50,1272,1676,405,Truck,2,407.25,24.09,26.41,25.21,25.22,1.03,-1.00,0
78,4.75,2.02,1284,1588,305,Car,2,402.84,30.83,34.20,33.14,33.26,1.08,-1.00,1
79,5.46,2.12,1314,1603,290,Car,2,410.27,31.24,39.47,35.55,30.61,0.85,14.85,0
80,16.98,2.50,1320,1748,429,Truck,2,407.40,22.76,25.17,23.81,31.32,1.37,-1.00,0
81,4.35,2.02,1345,1649,305,Car,2,410.69,30.57,37.01,33.79,34.43,1.12,-1.00,0
82,4.35,2.02,1371,1681,311,Car,2,411.63,29.66,36.83,33.22,26.47,0.89,-1.00,0
83,4.95,1.92,1393,1709,317,Car,2,409.62,29.28,36.84,32.43,21.86,0.74,-1.00,0
84,4.75,1.92,1423,1740,318,Car,2,409.81,28.94,36.46,32.34,29.98,1.01,3223.86,0
85,4.55,1.92,1425,1779,355,Car,2,410.60,27.97,29.54,29.01,30.02,1.04,8.06,0
86,4.95,1.92,1429,1698,270,Car,1,403.14,35.43,39.79,37.48,17.42,0.49,3.90,1
87,4.95,1.92,1443,1685,243,Car,1,409.75,41.97,42.80,42.37,346.91,8.10,295.85,0
88,4.24,2.12,1446,1780,335,Car,2,410.99,27.33,35.56,30.78,22.54,0.82,-1.00,0
89,5.15,2.02,1487,1761,275,Car,1,402.00,35.02,38.58,36.70,69.11,1.79,115.26,1
90,16.98,2.50,1498,1927,430,Truck,1,407.43,22.66,24.77,23.76,53.51,2.19,-1.00,0
91,4.55,2.02,1500,1835,336,Car,2,410.35,29.86,31.80,30.64,63.56,2.12,26.11,0
92,5.05,2.12,1519,1822,304,Car,2,409.40,32.39,36.95,33.80,46.35,1.42,8.53,0
93,4.45,1.92,1524,1784,261,Car,1,408.65,38.54,39.83,39.32,48.30,1.23,21.99,0
94,17.08,2.50,1569,1990,422,Truck,1,407.89,23.24,25.32,24.23,40.96,1.75,52.57,0
95,5.26,2.02,1570,1810,241,Car,1,411.69,40.65,45.61,42.90,36.26,0.89,9.81,0
96,4.04,1.92,1581,1906,326,Car,2,411.10,30.89,32.46,31.63,86.84,2.73,59.78,1
97,3.94,1.92,1589,1950,362,Car,2,404.08,26.75,29.26,28.00,16.02,0.59,-1.00,0
98,4.14,2.02,1661,1997,337,Car,2,410.32,29.81,31.29,30.54,46.66,1.52,20.65,0
99,3.94,1.82,1689,2023,335,Car,2,410.50,30.02,31.59,30.74,29.63,0.94,24.43,0
100,10.41,2.43,1779,2200,422,Car,2,403.01,22.87,25.15,23.94,91.41,3.99,-1.00,0
101,4.75,2.12,1793,1979,187,Car,2,350.66,44.80,48.14,47.12,301.87,6.58,25.98,0
102,5.05,2.12,1794,2025,232,Car,2,411.28,41.59,46.66,44.54,48.61,1.17,-1.00,0
